F1,Precision,Recall,ROC_AUC,PR_AUC,Brier,TP,FP,TN,FN,n,horizon,paradigm
0.5018827326519634,0.338411316648531,0.9708636836628513,0.7801740945606556,0.6216486663498861,0.27461844717705275,933,1824,495,28,3280,1,activity
0.7518248175182481,0.669374492282697,0.8574401664932362,0.9058660775864583,0.8156972478225912,0.147049472183378,824,407,1912,137,3280,1,global
0.5844245348035837,0.43688820195775374,0.882414151925078,0.8382560210431941,0.7152895921733872,0.21602879393082977,848,1093,1226,113,3280,1,local
0.49616097431824197,0.33285968028419183,0.974012474012474,0.7990018458094386,0.6498473855627913,0.2731687307219656,937,1878,440,25,3280,2,activity
0.7461044912923923,0.6672131147540984,0.8461538461538461,0.9058628217385766,0.8173948437075282,0.14711775101716598,814,406,1912,148,3280,2,global
0.5954465849387041,0.44902271526677234,0.8835758835758836,0.8453118861876412,0.7302259173247223,0.21178288616325286,850,1043,1275,112,3280,2,local
0.49827905745300505,0.33463726884779516,0.9751295336787564,0.800269922447655,0.6560336948212103,0.2692110843404334,941,1871,444,24,3280,3,activity
0.7450980392156863,0.6653094462540716,0.8466321243523316,0.904403137904408,0.8187708728019922,0.14597618019179465,817,411,1904,148,3280,3,global
0.6059743954480796,0.46128857606930157,0.8829015544041451,0.8380010966998288,0.7227851104586178,0.2130564726716112,852,995,1320,113,3280,3,local
0.49373695198329853,0.3297316138027187,0.9823468328141225,0.8135367689536592,0.6640447243151624,0.2689775447842325,946,1923,394,17,3280,4,activity
0.7435549525101763,0.6586538461538461,0.8535825545171339,0.9085297124374404,0.8221173972920255,0.14671595001523194,822,426,1891,141,3280,4,global
0.6023842917251052,0.45473795659078875,0.8920041536863966,0.8446403417603688,0.7316662543735246,0.2131443845653569,859,1030,1287,104,3280,4,local
0.48675070748649346,0.3234188034188034,0.9833679833679834,0.8236624159833825,0.6953729283885588,0.2725489319827552,946,1979,339,16,3280,5,activity
0.7451701931922723,0.6683168316831684,0.841995841995842,0.9041246396725258,0.8041085457093768,0.1468177535760772,810,402,1916,152,3280,5,global
0.6002775850104094,0.4505208333333333,0.8991683991683992,0.8476651138428533,0.7316184302424404,0.21373941659521947,865,1055,1263,97,3280,5,local
0.4886831275720165,0.32489740082079344,0.9854771784232366,0.8214482151943185,0.6907068739338099,0.27427359106174487,950,1974,342,14,3280,6,activity
0.7480495640201927,0.6707818930041153,0.8454356846473029,0.9091177018611284,0.8194932570381535,0.14514416640214617,815,400,1916,149,3280,6,global
0.6041593232287628,0.4575547250400427,0.8890041493775933,0.8482946523910878,0.7326338109262551,0.2119018077976418,857,1016,1300,107,3280,6,local
0.4968321013727561,0.33404330848420305,0.9691040164778579,0.8136102895623134,0.6790958892383356,0.26684137365326754,941,1876,433,30,3280,7,activity
0.7519344560764679,0.6737357259380098,0.850669412976313,0.9085916881909727,0.8244741057702814,0.14379339940848565,826,400,1909,145,3280,7,global
0.5908622466506355,0.44329896907216493,0.8856848609680742,0.8449433752044456,0.7366555773502225,0.21405146643103404,860,1080,1229,111,3280,7,local
