MAE,RMSE,MedAE,ME,PoissonDev,TweedieDev,ZeroAcc,n,R2,MASE,RMSSE,region
0.1744707078727104,0.2198411798698209,0.1553529699235523,0.1652801645191519,0.03936220833898901,0.03571743304978281,1.0,43,0.0,0.9047772992337018,0.42472519852238605,mykolaiv
0.25178333378707163,0.30919134094241213,0.21330876103024954,0.25178333378707163,0.07425370066036908,0.06578578504774599,1.0,21,0.0,0.9771194278094303,0.5502882841225376,odesa
0.1666677813314115,0.19402770767254537,0.15866516840827272,0.1547371127173976,0.032041542593169554,0.02967267294613943,1.0,45,0.0,1.252145126412912,0.3998278278732343,kyiv
0.7793747376260431,0.9922467203861128,0.5879396367647394,-0.29977520182045125,0.5025566916162086,0.3703051155583811,1.0,287,-0.1336486761779092,1.297481807525174,0.8152834334498574,kherson
0.3081068241221749,0.3832170735351545,0.2171475170609798,0.06320523001872506,0.10670073063180506,0.09165573989432281,1.0,42,-0.057358343231705744,1.4921537102115248,0.46794777092975837,donetsk
1.654484002156279,1.9442067809363306,1.5377154535679924,-0.5224846435983566,1.0875606826047937,0.6100564444215787,1.0,302,-0.1173124800338603,1.5008167573739621,0.8083350535136169,zaporizhia
0.050159109374273134,0.06389704568416715,0.04042761759937852,0.0420853336880365,0.0038283513171289496,0.0037087965195492195,1.0,7,0.0,1.6329576718513366,0.36458041439124256,cherkasy
1.167252396882257,1.4757676048009907,0.8971147863552995,-0.416534760098856,1.0059876494286493,0.706947863941235,1.0,355,-0.2218370617197205,1.8739997385561713,1.298430896200108,dnipropetrovsk
0.5176524836672344,0.7664378201625157,0.34659333999151287,-0.008162168472832864,0.34005054381069816,0.2666790793815645,1.0,167,-0.07540696543531888,2.0089030160860886,1.2001258341534915,kharkiv
0.16826215543377324,0.213899147208395,0.1242943170625288,0.1637359863711235,0.037289375846879025,0.03381982302788412,1.0,49,0.0,2.594779554847135,0.8399744243195504,poltava
0.11054759654299294,0.1245118468856469,0.12171462540864408,0.11054759654299294,0.014042186775440618,0.013373620649303464,1.0,11,0.0,3.084804360675898,0.6028225347054179,kirovohrad
0.12975700883908822,0.14680475624798742,0.14083401612222346,0.12873161498112679,0.019199179088713336,0.0181413446677649,1.0,15,0.0,3.4562548718048043,0.6969510236578311,vinnytsia
2.5418421476578033,3.435789502909825,1.8184600962805084,-1.7110966139179802,2.672180542548496,1.3495660494634594,1.0,529,-0.2618596582506434,3.580575717614117,2.1872136622502105,sumy
0.2955453440553903,0.31714080168442743,0.30774723309501484,0.2955453440553903,0.08133734238559288,0.0733473776556994,1.0,7,0.0,4.329739290411467,1.0646313629114343,khmelnytskyi
0.8213046627534412,1.1031058760021744,0.6018932910561885,-0.4888054802419198,0.6480949784042784,0.4895922386550692,1.0,252,-0.28379802628875916,5.120048216739537,2.546066035298248,chernihiv
0.3176400841230113,0.3480794955634921,0.29419317238412823,0.3176400841230113,0.09485277918176213,0.0843184825528901,1.0,21,0.0,7.159118819080178,1.4450663575827762,zhytomyr
0.5998355256360595,0.6633038613543427,0.5979568593828667,-0.2573326995687004,0.32175721374249316,0.27730599740994705,1.0,14,-0.7598880499503244,14.645984084280453,2.676147725316096,lviv
0.24997155799895454,0.26280159304524825,0.2701102555455328,0.24997155799895454,0.0578731069706766,0.05308772741560056,1.0,7,0.0,18.31041662342342,2.2492193340682807,ivano-frankivsk
0.2117099687080382,0.2350750335839768,0.19434489173002034,0.2117099687080382,0.04618783849655918,0.0423455472620954,1.0,7,0.0,20.677006943818398,1.7995143525101873,rivne
